scenario,replication,bridge_id,bridge_name,road,total_delay_min,breakdown_count
S2,0,129,Bridge end,N1,52558,1
S2,0,137,Bridge start,N1,118360,1
S2,0,138,Bridge end,N1,130277,1
S2,0,165,Bridge start,N1,236613,1
S2,0,166,Bridge end,N1,0,0
S2,0,193,Bridge start,N1,0,0
S2,0,194,Bridge end,N1,0,0
S2,0,200,Bridge start,N1,173307,1
S2,0,201,Bridge end,N1,0,0
S2,0,206,Bridge start,N1,108568,1
S2,0,207,Bridge end,N1,30715,1
S2,0,213,Bridge start,N1,85254,1
S2,0,214,Bridge end,N1,86216,1
S2,0,221,Bridge start,N1,30357,1
S2,0,222,Bridge end,N1,0,0
S2,0,227,Bridge start,N1,112310,1
S2,0,228,Bridge end,N1,0,0
S2,0,233,Bridge start,N1,42530,1
S2,0,234,Bridge end,N1,103179,1
S2,0,238,Bridge start,N1,110870,1
S2,0,239,Bridge end,N1,0,0
S2,0,241,Bridge start,N1,0,0
S2,0,242,Bridge end,N1,107727,1
S2,0,247,Bridge start,N1,44696,1
S2,0,248,Bridge end,N1,43709,1
S2,0,262,Bridge start,N1,30317,1
S2,0,263,Bridge end,N1,0,0
S2,0,281,Bridge start,N1,96275,1
S2,0,282,Bridge end,N1,0,0
S2,0,286,Bridge start,N1,114188,1
S2,0,287,Bridge end,N1,0,0
S2,0,313,Bridge start,N1,0,0
S2,0,314,Bridge end,N1,0,0
S2,0,338,Bridge start,N1,0,0
S2,0,339,Bridge end,N1,0,0
S2,0,347,Bridge start,N1,0,0
S2,0,348,Bridge end,N1,0,0
S2,0,357,Bridge start,N1,0,0
S2,0,358,Bridge end,N1,0,0
S2,0,365,Bridge start,N1,55604,1
S2,0,366,Bridge end/Start of Chittagong Road Division / Bridge end/Start of Chittagong Road Division,N1,0,0
S2,0,387,Bridge start,N1,54240,1
S2,0,388,Bridge end,N1,22179,1
S2,0,406,Bridge start,N1,22224,1
S2,0,408,Bridge end,N1,56621,1
S2,0,417,Bridge start,N1,22400,1
S2,0,418,Bridge end,N1,57026,1
S2,0,466,Bridge start,N1,0,0
S2,0,467,Bridge end / Box culvert,N1,0,0
S2,0,482,Bridge start,N1,0,0
S2,0,483,Bridge end,N1,0,0
S2,0,487,Bridge start,N1,0,0
S2,0,488,Bridge end,N1,0,0
S2,0,491,Bridge start,N1,0,0
S2,0,492,Bridge end,N1,0,0
S2,0,496,Bridge start,N1,0,0
S2,0,497,Bridge end,N1,0,0
S2,0,503,Bridge start,N1,0,0
S2,0,504,Bridge end,N1,0,0
S2,0,506,Bridge start,N1,57280,1
S2,0,507,Bridge end,N1,0,0
S2,0,509,Bridge start,N1,0,0
S2,0,510,Bridge end,N1,0,0
