truck_id,source_id,source_road,generated_at_step,removed_at_step,travel_time_min,travel_distance_m,sink_id,sink_road,scenario,replication
Truck98,1356,N102,36,111,75,59502.63224849069,1710,N105,S0,0
Truck153,1709,N104,54,111,57,45539.23563910388,1587,N104,S0,0
Truck179,1826,N105,66,111,45,35419.96612285012,2346,N2,S0,0
Truck23,3231,N2,6,112,106,84651.50366666683,3346,N207,S0,0
Truck147,1826,N105,54,112,58,46164.99061658157,1710,N105,S0,0
Truck203,3329,N204,72,112,40,31360.076986546203,3237,N204,S0,0
Truck292,2346,N2,108,112,4,3185.017867313915,1710,N105,S0,0
Truck103,3511,N207,36,114,78,61712.07469908522,3346,N207,S0,0
Truck110,1710,N105,39,114,75,59502.63224849072,1356,N102,S0,0
Truck189,1826,N105,69,114,45,35419.96612285012,2346,N2,S0,0
Truck294,3346,N207,108,114,6,4778.025000000019,3237,N204,S0,0
Truck85,1574,N102,30,115,85,67954.89974603387,1356,N102,S0,0
Truck100,2346,N2,36,115,79,62522.65011580468,1356,N102,S0,0
Truck120,1587,N104,42,115,73,58244.67283261178,1356,N102,S0,0
Truck157,1826,N105,57,115,58,46164.99061658157,1710,N105,S0,0
Truck196,2346,N2,72,116,44,34814.96612285012,1826,N105,S0,0
Truck114,1710,N105,42,117,75,59502.63224849072,1356,N102,S0,0
Truck169,1709,N104,60,117,57,45539.23563910388,1587,N104,S0,0
Truck193,1826,N105,72,117,45,35419.96612285012,2346,N2,S0,0
Truck274,1710,N105,102,117,15,11286.841911431562,0,N1,S0,0
Truck37,3231,N2,12,118,106,84651.50366666683,3346,N207,S0,0
Truck38,3346,N207,12,118,106,84395.50366666674,3231,N2,S0,0
Truck99,1574,N102,36,121,85,67954.89974603387,1356,N102,S0,0
Truck116,1356,N102,42,121,79,62522.65011580461,2346,N2,S0,0
Truck118,2346,N2,42,121,79,62522.65011580468,1356,N102,S0,0
Truck136,1587,N104,48,121,73,58244.67283261178,1356,N102,S0,0
Truck175,1826,N105,63,121,58,46164.99061658157,1710,N105,S0,0
Truck128,1710,N105,48,123,75,59502.63224849072,1356,N102,S0,0
Truck185,1709,N104,66,123,57,45539.23563910388,1587,N104,S0,0
Truck211,1826,N105,78,123,45,35419.96612285012,2346,N2,S0,0
Truck55,3231,N2,18,124,106,84651.50366666683,3346,N207,S0,0
Truck235,3329,N204,84,124,40,31360.076986546203,3237,N204,S0,0
Truck108,0,N1,36,125,89,70624.47415992228,1356,N102,S0,0
Truck266,3237,N204,96,125,29,22927.921764430062,1356,N102,S0,0
Truck314,0,N1,114,125,11,8361.824044117646,2346,N2,S0,0
Truck135,3511,N207,48,126,78,61712.07469908522,3346,N207,S0,0
Truck142,1710,N105,51,126,75,59502.63224849072,1356,N102,S0,0
Truck221,1826,N105,81,126,45,35419.96612285012,2346,N2,S0,0
Truck326,3346,N207,120,126,6,4778.025000000019,3237,N204,S0,0
Truck117,1574,N102,42,127,85,67954.89974603387,1356,N102,S0,0
Truck130,1356,N102,48,127,79,62522.65011580461,2346,N2,S0,0
Truck132,2346,N2,48,127,79,62522.65011580468,1356,N102,S0,0
Truck148,1356,N102,54,127,73,58244.67283261179,1587,N104,S0,0
Truck192,1710,N105,72,129,57,45559.99061658157,1826,N105,S0,0
