road,chainage,lrp,lat,lon,gap,type,name,id,length,type_simple,LRPName,length_bmms,condition,name_bmms
R547,52.275,LRP052,25.1209438,88.5980552,,KmPost,Km post missing,15539,836.9999999999961,KmPost,,,,
R547,52.409,LRP052a,25.1215827,88.5971386,,Culvert,Box culvert,15540,134.00000000000034,Culvert,LRP052a,14.937906976744188,D,CHAITANUE BOX CULVERT
R547,53.018,LRP052b,25.1246104,88.5919997,,Culvert,Box Culvert,15541,609.0000000000018,Culvert,LRP052b,11.222857142857142,C,KOBOTABAI
R547,53.27,LRP053,25.1257493,88.589833,,KmPost,Km post missing,15542,252.00000000000244,KmPost,,,,
R547,53.298,LRP053a,25.1257493,88.5896386,,Culvert,Box Culvert,15543,27.999999999998693,Culvert,LRP053a,5.8,C,KAMARTEK BOX CULVERT
R547,54.27,LRP054,25.1213049,88.5812771,,KmPost,Porsha 23 km,15544,972.0000000000014,KmPost,,,,
R547,54.384,LRP054a,25.1208049,88.5804438,,Culvert,Box culvert,15545,113.99999999999721,Culvert,LRP054a,31.492790697674426,C,GABTALI BOX CULVERT
R547,54.638,LRP054b,25.119666,88.5782493,,Culvert,Box culvert,15546,253.99999999999778,Culvert,LRP054b,4.257777777777778,C,MARJAL BOX CULVERT
R547,54.803,LRP054c,25.1192771,88.5767771,,Culvert,Box Culvert,15547,164.99999999999915,Culvert,LRP054c,6.423333333333333,C,KHUDRAMPUR CUVLERT
R547,55.21,LRP054d,25.1179993,88.5729716,,Culvert,Box culvert,15548,407.0000000000036,Culvert,LRP054d,11.84,C,Della para Bridge
R547,55.27,LRP055,25.1176382,88.571916,,KmPost,Km post missing,15549,60.000000000002274,KmPost,,,,
R547,55.446,LRP055a,25.1172493,88.5707216,,Culvert,Box culvert,15550,175.99999999999483,Culvert,LRP055a,24.11,D,.
R547,55.798,LRP055b,25.1162222,88.5677216,,Culvert,Box culvert,15551,352.00000000000387,Culvert,LRP055b,10.79375,D,MARGAL BOX CULVERT
R547,56.172,LRP055c,25.1150833,88.564,,Culvert,Box Culvert,15552,373.9999999999952,Culvert,LRP055c,9.562857142857142,B,.
R547,56.263,LRP055d,25.114773807142857,88.56273612142857,,Culvert,R.C.C Culvert,15553,91.00000000000108,Culvert,LRP055d,5.55,C,.
R547,56.27,LRP056,25.11475,88.5626389,,KmPost,Info missing,15554,7.000000000005002,KmPost,,,,
R547,57.27,LRP057,25.1112778,88.5539444,,KmPost,Info missing,15555,1000.0,KmPost,,,,
R547,57.443,LRP057a,25.1105,88.5524444,,Culvert,Box culvert,15556,172.9999999999947,Culvert,LRP057a,15.045714285714286,D,BITIMARGAL BOX CULVERT
R547,58.255,LRP058,25.1063889,88.5454441,,KmPost,Info missing,15557,812.0000000000048,KmPost,,,,
R547,58.57,LRP058a,25.1053611,88.5436108,,Culvert,Box Culvert,15558,314.9999999999977,Culvert,LRP058a,29.44340909090909,D,NOGARJOLY BOX CULVERT
R547,59.25,LRP059,25.1018889,88.5372219,,KmPost,Info missing,15559,679.9999999999998,KmPost,,,,
R547,59.522,LRP059a,25.1008333,88.5347497,,Culvert,Box culvert,15560,271.99999999999847,Culvert,LRP059a,11.3940625,D,BARAICHA CULVERT
R547,59.815,LRP059b,25.098333,88.5338608,,Culvert,Box Culvert,15561,292.99999999999926,Culvert,LRP059b,6.925714285714285,C,Oykonjory box culvert
R547,60.26,LRP060,25.0942774,88.5329716,,KmPost,Km post broken,15562,445.0000000000003,KmPost,,,,
R547,60.705,LRP060a,25.0904441,88.5322216,,Culvert,3 v Box Culvert,15563,445.0000000000003,Culvert,LRP060a,15.618571428571428,C,Khamachor Bridge
R547,61.26,LRP061,25.0853052,88.531416,,KmPost,Km post missing,15564,554.9999999999998,KmPost,,,,
R547,61.905,LRP061a,25.0798327,88.5304438,,Culvert,Box culvert,15565,645.0000000000032,Culvert,LRP061a,12.466296296296298,C,DARIKANDI CULVERT
R547,62.26,LRP062,25.0766104,88.5307493,,KmPost,Km post missing,15566,354.9999999999969,KmPost,,,,
R547,62.311,LRP062a,25.0766104,88.5307771,,Culvert,Box culvert,15567,51.00000000000193,Culvert,LRP062a,13.512666666666664,D,Noya Kandi Bridge
R547,63.09,LRP062b,25.0694716,88.5318049,,Culvert,Box Culvert,15568,779.0000000000034,Culvert,LRP062b,6.678461538461538,D,.
R547,63.255,LRP063,25.0675549,88.5318049,,KmPost,Information Not Clear,15569,164.99999999999915,KmPost,,,,
R547,63.984,LRP063a,25.0614444,88.5307493,,Culvert,Box culvert,15570,728.9999999999992,Culvert,LRP063a,10.7509375,D,Patila Dua Bridge
R547,64.255,LRP064,25.0585833,88.5301382,,KmPost,Information Not Clear,15571,270.9999999999937,KmPost,,,,
R547,64.94,LRP064a,25.0534167,88.5302493,,Culvert,Box Culvert,15572,685.0000000000023,Culvert,LRP064a,26.304642857142856,C,NARAYERPUR CULVERT
R547,65.25,LRP065,25.0496108,88.5304438,,KmPost,Information missing,15573,310.0000000000023,KmPost,,,,
R547,66.205,LRP065a,25.0415274,88.5305827,,Culvert,Box culvert,15574,954.9999999999983,Culvert,LRP065a,25.1604,D,MEHERA BARI BOX CULVERT
R547,66.25,LRP066,25.0413886,88.5305827,,KmPost,Information missing,15575,45.000000000001705,KmPost,,,,
R547,67.25,LRP067,25.0320827,88.5298327,,KmPost,Km post missing,15576,1000.0,KmPost,,,,
R547,67.667,LRP067a,25.0287216,88.5300549,,Culvert,Box culvert,15577,417.0000000000016,Culvert,LRP067a,14.523,C,Mahmudabad Bridge
R547,68.25,LRP068,25.0228049,88.5301938,,KmPost,Information missing,15578,582.9999999999984,KmPost,,,,
R547,68.945,LRP068a,25.0174438,88.5282216,,CrossRoad,Intersection with Z5456,15579,694.9999999999932,CrossRoad,LRP068a,9.8005,B,MILL GHAT BOX CULVERT
R547,69.245,LRP069,25.0148333,88.527166,,KmPost,Information missing,15580,300.00000000001137,KmPost,,,,
R547,69.472,LRP069a,25.0129722,88.5264716,,Culvert,Box culvert,15581,226.99999999998965,Culvert,LRP069a,50.031111111111116,D,.
R547,70.24,LRP069b,25.0072222,88.522166,,Culvert,Box culvert,15582,768.0000000000007,Culvert,LRP069b,6.279999999999999,B,RAZA BAZAR RCC BRIDGE
R547,70.245,LRP070,25.0071389,88.5221104,,KmPost,Information missing,15583,5.000000000009663,KmPost,,,,
R547,71.24,LRP071,24.9993608,88.5173882,,KmPost,Info missing,15584,994.9999999999903,KmPost,,,,
R547,71.783,LRP071a,24.995333,88.5148333,,Culvert,Box culvert,15585,543.0000000000064,Culvert,LRP071a,14.569333333333333,C,ISAPUR BOX CULVERT
R547,72.24,LRP072,24.9906386,88.5125556,,KmPost,Km post missing,15586,456.99999999999363,KmPost,,,,
R547,72.787,LRP072a,24.9880274,88.5096667,,Culvert,Box culvert,15587,547.0000000000113,Culvert,LRP072a,91.54846153846155,C,NEAR BHAIRAB SLAB CULVERT
R547,73.24,LRP073,24.9839441,88.5076111,,KmPost,Information missing,15588,452.99999999998875,KmPost,,,,
R547,74.23,LRP074,24.9753049,88.5061944,,KmPost,Information missing,15589,990.0000000000091,KmPost,,,,
R547,75.24,LRP075,24.9679438,88.5008889,,KmPost,Information missing,15590,1009.9999999999909,KmPost,,,,
R547,75.385,LRP075a,24.9671104,88.5000556,,"SideRoad,Right",Road to Porsha Z 6852,15591,145.00000000001023,"SideRoad,Right",LRP075a,23.523684210526316,D,Bagutia Bridge
R547,75.962,LRP075b,24.9624167,88.4975552,,Culvert,Brick machinary Culvert,15592,576.9999999999982,Culvert,LRP075b,33.791666666666664,D,RCC BRIDGE
R547,76.24,LRP076,24.9599444,88.4958886,,KmPost,Kansat 41 km,15593,277.9999999999916,KmPost,,,,
R547,77.23,LRP077,24.9528611,88.4902219,,KmPost,Information missing,15594,990.0000000000091,KmPost,,,,
R547,77.345,LRP077a,24.95225,88.4896663,,Culvert,Brick Machinary Culvert,15595,114.99999999999488,Culvert,LRP077a,8.285714285714286,C,NIMSHAR SLAB CULVERT
R547,77.903,LRP077b,24.9499441,88.4866663,,Culvert,Box culvert,15596,558.0000000000069,Culvert,LRP077b,3.278333333333333,D,DOBAG BOX CULVERT
R547,78.33,LRP078,24.9444997,88.4851941,,KmPost,Information missing,15597,426.9999999999925,KmPost,,,,
R547,78.627,LRP078a,24.9416108,88.4841386,,Culvert,Box Culvert,15598,296.99999999999704,Culvert,LRP078a,14.47625,D,KAMORA
R547,79.105,LRP078b,24.9381663,88.4824716,,"SideRoad,Left",Left to Niamatpur Z 6852,15599,478.00000000000864,"SideRoad,Left",LRP078b,4.836,B,.
R547,79.31,LRP079,24.936083,88.4821104,,KmPost / KmPost,Kansat 46 km /Chapainababgonj RHD Start / Kansat 46 km /Chapainababgonj RHD Start,15600,204.9999999999983,KmPost,,,,
R547,79.373,LRP079a,24.9355552,88.4820271,,Culvert,Box Culvert,15601,63.00000000000239,Culvert,LRP079a,38.55047619047619,C,KHARIALA 2
R547,80.315,LRP080,24.9275271,88.4790827,,KmPost,Kansat 45 km,15602,941.9999999999931,KmPost,,,,
R547,80.748,LRP080a,24.9211938,88.4771938,,Culvert,Box culvert,15603,433.00000000000693,Culvert,LRP080a,13.89,C,.
R547,81.092,LRP080b,24.9212216,88.4763604,,Culvert,Box Culvert,15604,343.9999999999941,Culvert,LRP080b,79.31714285714285,C,Dignagar Bridge.
R547,81.315,LRP081,24.9192216,88.475666,,KmPost,Kansat 44 km,15605,222.99999999999898,KmPost,,,,
R547,81.529,LRP081a,24.9173882,88.4750827,,Culvert,Box culvert,15606,213.99999999999864,Culvert,LRP081a,12.628571428571428,D,BATHTOLA-2 BOX CULVERT
R547,82.173,LRP081b,24.9120833,88.4727771,,Culvert,Pipe Culvert,15607,644.0000000000055,Culvert,LRP081b,4.0311111111111115,C,BETHTOLA BOX CULVERT
R547,82.31,LRP082,24.9107222,88.4728882,,KmPost,Kansat 43 km,15608,137.00000000000045,KmPost,,,,
R547,82.719,LRP082a,24.9073889,88.4718604,,Culvert,Box culvert,15609,408.9999999999918,Culvert,LRP082a,7.163846153846155,D,Raikhali Bridge
R547,83.31,LRP083,24.9023889,88.4693327,,KmPost,Parbotipur Adda 6 km,15610,591.0000000000082,KmPost,,,,
R547,83.907,LRP083a,24.8978608,88.4661389,,Culvert,Box culvert,15611,596.9999999999942,Culvert,LRP083a,14.537058823529414,D,TIPRA BAZAR BOX CULVERT
