road,chainage,lrp,lat,lon,gap,type,name,id,length,type_simple,LRPName,length_bmms,condition,name_bmms,model_type,geometry,link_no,heavy_truck,medium_truck,small_truck,criticality_score,flood_hazard,flood_cat,index_right,eq_hazard,eq_zone,int_cond_score,seismic_mult,flood_mult,max_hazard_mult,vulnerability_score,target_road,is_junction
N1,15.524,LRP016,23.6628333,90.5641111,,KmPost,Km post missing,34,960.9999999999984,KmPost,,,,,link,POINT (90.5641111 23.6628333),N1-6L,153.0,4419.0,3221.0,42891.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,15.935,LRP016a,23.6604167,90.5671104,,"SideRoad,Right",Road to MinanbariZ1061),35,411.00000000000136,"SideRoad,Right",LRP016a,15.506954732510286,D,BANTI BOX CULVERT,link,POINT (90.5671104 23.6604167),N1-6L,153.0,4419.0,3221.0,42891.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,True
N1,16.242,LRP016b,23.6591111,90.5697216,BS,Bridge,Langalbandhu bridge,36,11.682068965517242,Bridge,LRP016b,11.682068965517242,D,NEEMTOLI BRIDGE,bridge,POINT (90.5697216 23.6591111),N1-7L,153.0,4419.0,3221.0,42891.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,False
N1,16.402,LRP016c,23.6583056,90.5709993,BE,Bridge,Bridge end,37,7.243999999999999,Bridge,LRP016c,7.243999999999999,D,NURUTAL BOX CUL,bridge,POINT (90.5709993 23.6583056),N1-7L,153.0,4419.0,3221.0,42891.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,False
N1,16.524,LRP017,23.6575,90.5719716,,KmPost,Km post missing,38,121.99999999999989,KmPost,,,,,link,POINT (90.5719716 23.6575),N1-7L,153.0,4419.0,3221.0,42891.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,16.831,LRP017a,23.6559722,90.5743327,BS,Bridge,Bridge start,39,15.144881516587676,Bridge,LRP017a,15.144881516587676,D,.,bridge,POINT (90.5743327 23.6559722),N1-7L,153.0,4419.0,3221.0,42891.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,False
N1,16.852,LRP017b,23.6559167,90.5745271,BE,Bridge,Bridge end,40,15.196555555555555,Bridge,LRP017b,15.196555555555555,D,.,bridge,POINT (90.5745271 23.6559167),N1-7L,153.0,4419.0,3221.0,42891.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,False
N1,17.204,LRP017c,23.6540556,90.5772771,BS,Bridge,Bridge start,41,8.497799999999998,Bridge,LRP017c,8.497799999999998,D,SHIMOLIA,bridge,POINT (90.5772771 23.6540556),N1-7L,153.0,4419.0,3221.0,42891.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,False
N1,17.234,LRP017d,23.6539167,90.5774993,BE,Bridge,Bridge end,42,11.442857142857145,Bridge,LRP017d,11.442857142857145,D,.,bridge,POINT (90.5774993 23.6539167),N1-7L,153.0,4419.0,3221.0,42891.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,False
N1,17.524,LRP018,23.6525278,90.5798882,,KmPost,Km post missing,43,289.99999999999915,KmPost,,,,,link,POINT (90.5798882 23.6525278),N1-7L,153.0,4419.0,3221.0,42891.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,17.863,LRP018a,23.6508889,90.5826382,BS,Bridge,Bridge start,44,6.0,Bridge,LRP018a,6.0,D,Darikandi Bridge (L),bridge,POINT (90.5826382 23.6508889),N1-7L,153.0,4419.0,3221.0,42891.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,False
N1,17.904,LRP018b,23.6506944,90.5829993,BE,Bridge,Bridge end,45,11.44093023255814,Bridge,LRP018b,11.44093023255814,D,Darikandi Bridge (R),bridge,POINT (90.5829993 23.6506944),N1-7L,153.0,4419.0,3221.0,42891.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,False
N1,18.524,LRP019,23.6476108,90.588083,,KmPost,Km post missing,46,620.000000000001,KmPost,,,,,link,POINT (90.588083 23.6476108),N1-7L,153.0,4419.0,3221.0,42891.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,18.878,LRP019a,23.6449441,90.5899163,,Culvert,Box culvert,47,353.9999999999992,Culvert,LRP019a,5.125,D,.,link,POINT (90.5899163 23.6449441),N1-7L,153.0,4419.0,3221.0,42891.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,False
